Name,IC50,SMILES
4095,11,c12c(c(sc1)-c1ccccc1)ncn(CC1(CCN(CC1)C([C@@H]1CCC(F)(C[C@H]1c1cscn1)F)=O)O)c2=O
4095,11,n1c2c(nc(C#N)c1C#N)C(c1cc(c(cc-21)OC)OC)=O
4095,11,c1ccccc1[C@@H]1CCC(C[C@H]1C(N1CCC(Cn2c(=O)c3csc(c3nc2)-c2ccccc2)(CC1)O)=O)(F)F
4096,11,c1c(-n2c3ncn(c(=O)c3cc2)CC2(O)CCN(C([C@H]3[C@H](c4ccccc4)C(F)(CCC3)F)=O)CC2)cccc1
4096,11,c12-c3nc(c(nc3C(=O)c2cc(c(OC)c1)OC)C#N)C#N
4097,11,c12c(ccc(c1)NCc1occc1)c(n(cn2)CC1(O)CCN(CC1)C(=O)CC(C)c1ccccc1)=O
4097,11,C1C(O)(Cn2c(=O)c3ccn(-c4ccccc4)c3nc2)CCN(C(=O)[C@H]2[C@H](c3ccccc3)C(CCC2)(F)F)C1
4097,11,n1c([C@H]2[C@H](C(N3CCC(O)(Cn4c(c5csc(-c6ccccc6)c5nc4)=O)CC3)=O)CCC(C2)(F)F)csc1
4097,11,C1(=O)c2nc(c(C#N)nc2-c2c1cc(c(c2)OC)OC)C#N
4097,11,[C@H]1(C(=O)N2CCC(CC2)(Cn2cnc3c(-c4ccccc4)scc3c2=O)O)[C@@H](CCC(F)(F)C1)c1ccccc1
4098,11,C1CCC(F)([C@H]([C@@H]1C(N1CCC(CC1)(O)Cn1c(c2ccn(-c3ccccc3)c2nc1)=O)=O)c1ccccc1)F
4098,11,c1ccc(cc1)-c1c2ncn(CC3(O)CCN(C([C@@H]4CCC(F)(C[C@H]4c4ncsc4)F)=O)CC3)c(c2cs1)=O
4098,11,c1(OC)c(OC)cc2c(c1)-c1c(C2=O)nc(c(n1)C#N)C#N
4098,11,c1cccc(c1)-c1scc2c1ncn(c2=O)CC1(CCN(CC1)C([C@H]1[C@@H](CCC(F)(F)C1)c1ccccc1)=O)O
4099,11,c1cc(CNc2ccc3c(c2)ncn(CC2(O)CCN(CC2)C(=O)CC(c2ccccc2)C)c3=O)oc1
4099,11,c1cc(ccc1)-n1ccc2c1ncn(CC1(O)CCN(C([C@H]3[C@H](c4ccccc4)C(F)(F)CCC3)=O)CC1)c2=O
4099,11,OC1(Cn2cnc3c(c2=O)csc3-c2ccccc2)CCN(CC1)C([C@H]1[C@@H](CC(CC1)(F)F)c1cscn1)=O
4099,11,c1c(OC)c(OC)cc2c1C(=O)c1c-2nc(C#N)c(C#N)n1
4099,11,n1cn(c(=O)c2c1c(sc2)-c1ccccc1)CC1(CCN(C(=O)[C@H]2[C@@H](CCC(F)(C2)F)c2ccccc2)CC1)O
4100,11,c1oc(CNc2cc3ncn(c(c3cc2)=O)CC2(O)CCN(C(CC(c3ccccc3)C)=O)CC2)cc1
