SMILES,Name,IC50,Unit
Cc1cc(Cl)cc(-c2ncnc3cc(CN4C(=O)c5ccccc5C4=O)sc23)c1OC1CNCC1F,76,0.5,¦ÌM
Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)CCN(C)C4=O)sc23)c1OC1CNCC1F,77,0.5,¦ÌM
Cc1cc(Cl)cc(-c2ccnc3cc(Cn4c(=O)ccn(C)c4=O)sc23)c1OC1CNCC1F,78,0.5,¦ÌM
Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)CCNC4=O)sc23)c1OC1CNCC1F,79,0.5,¦ÌM
Cc1cc(Cl)cc(-c2ccnc3cc(Cn4c(=O)cc[nH]c4=O)sc23)c1OC1CNCC1F,80,0.5,¦ÌM
Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)NC(C)(C)C4=O)sc23)c1OC1CNCC1F,81,0.5,¦ÌM
Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)N(C)C(C)(C)C4=O)sc23)c1OC1CNCC1F,82,0.5,¦ÌM
Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)CCC4=O)sc23)c1OC1CCC(N2CCC2)C1,83,0.5,¦ÌM
Cc1cc(Cl)cc(-c2ncnc3cc(CN4C(=O)C5CCCC5C4=O)sc23)c1OC1CNCC1F,84,0.5,¦ÌM
Cc1cc(Cl)cc(-c2ccnc3cc(Cn4c(=O)ccn(C)c4=O)sc23)c1OC1CCCNC1,85,0.5,¦ÌM
Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)CCN(C)C4=O)sc23)c1OC1CCCNC1,86,0.5,¦ÌM
Cc1cc(Cl)cc(-c2ccnc3c(F)c(CN4C(=O)CCC4=O)sc23)c1OC1CCCNC1,87,0.5,¦ÌM
Cc1cc(Cl)cc(-c2ncnc3cc(Cn4c(=O)ccn(CC(F)(F)F)c4=O)sc23)c1OC1CCNCC1F,88,0.5,¦ÌM
CCN1CCC(Oc2c(C)cc(Cl)cc2-c2ccnc3cc(CN4C(=O)CCC4=O)sc23)CC1,89,0.5,¦ÌM
Cc1cc(Cl)cc(-c2ncnc3cc(CN4C(=O)CCC4=O)sc23)c1OC1CCNCC1,90,0.5,¦ÌM
Cc1cc(Cl)cc(-c2ncnc3cc(CN4C(=O)C5CCCC5C4=O)sc23)c1OC1CCNCC1,91,0.5,¦ÌM
Cc1cc(Cl)cc(-c2ccnc3cc(Cn4c(=O)cc[nH]c4=O)sc23)c1OC1CCNCC1,92,0.5,¦ÌM
Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)NC(C)(C)C4=O)sc23)c1OC1CCNCC1,93,0.5,¦ÌM
Cc1cc(Cl)cc(-c2ccnc3cc(Cn4c(=O)ccn(C)c4=O)sc23)c1OC1CCNCC1,94,0.5,¦ÌM
Cc1cc(Cl)cc(-c2ncnc3cc(CN4C(=O)c5ccccc5C4=O)sc23)c1OC1CCNCC1,95,0.5,¦ÌM
Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)CCN(C)C4=O)sc23)c1OC1CCNCC1,96,0.5,¦ÌM
Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)CCC4=O)sc23)c1OC1CCNC(C)(C)C1,97,0.5,¦ÌM
Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)CCC4=O)sc23)c1OC1C2CNCC1C2,98,0.5,¦ÌM
Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)CCC4=O)sc23)c1OC1CCNCC1F,99,0.5,¦ÌM
Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)CCC4=O)sc23)c1OC1CCNCC1,100,0.5,¦ÌM
Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)CCC4=O)sc23)c1OC1CCCNC1,101,0.5,¦ÌM
Cc1cc(C#N)cc(-c2ccnc3cc(CN4C(=O)CCC4=O)sc23)c1OC1CCNCC1,102,0.5,¦ÌM
CNC1CCC(Oc2c(C)cc(Cl)cc2-c2ccnc3cc(CN4C(=O)CCC4=O)sc23)CC1,103,0.5,¦ÌM
Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)CCC4=O)sc23)c1OC1CC2CCC(C1)N2,104,0.5,¦ÌM
Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)CCC4=O)sc23)c1OC1CCN(C)CC1,105,0.5,¦ÌM
Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)CCC4=O)sc23)c1OC1CC2CNC1C2,106,0.5,¦ÌM
Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)CCNC4=O)sc23)c1OC1CCNCC1,107,0.5,¦ÌM
Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)C5CCCCN5C4=O)sc23)c1OC1CCNCC1,108,0.5,¦ÌM
Cc1cc(Cl)cc(-c2ncnc3cc(CN4C(=O)CCC4=O)sc23)c1OC1CCCNC1,109,0.5,¦ÌM
Cc1cc(Cl)cc(-c2ncnc3cc(Cn4c(=O)ccn(C)c4=O)sc23)c1OC1CCNCC1,110,0.5,¦ÌM
Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)C5CC5C4=O)sc23)c1OC1CCNCC1,111,0.5,¦ÌM
Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)CCC4=O)sc23)c1OC1CCNCC1CO,112,0.5,¦ÌM
